PlotID,QuadratName,QX,QY,Tag,CensusID,Status
1,4924,3,3.1,129162,171,dead
1,4924,2,3.5,129163,171,alive
1,4924,4.5,2.5,129166,171,alive
1,4924,2.2,6.6,129167,171,alive
1,4924,2.2,6.6,129167,171,alive
1,4924,1.2,6.5,129168,171,dead
1,4924,2.4,14.1,129172,171,dead
1,4924,2.6,13.8,129173,171,dead
1,4924,0.3,15.1,129175,171,alive
1,4924,2.5,15.7,129176,171,alive
1,4924,3.3,16,129177,171,alive
1,4924,3.9,16.3,129178,171,dead
1,4924,4.3,16.8,129179,171,alive
1,4924,2.6,16.8,129181,171,alive
1,4924,4,18.8,129185,171,alive
1,4924,3.9,19.1,129187,171,alive
1,4924,3,18.8,129189,171,alive
1,4924,0.5,19.8,129190,171,alive
1,4924,0.8,19.6,129191,171,alive
1,4924,0.4,18.6,129192,171,alive
1,4924,5.3,18.2,129194,171,alive
1,4924,6,17.4,129196,171,alive
1,4924,7,16.8,129197,171,dead
1,4924,7.4,19.7,129202,171,alive
1,4924,7,13.2,129206,171,alive
1,4924,8.5,13.5,129207,171,alive
1,4924,6.1,3.2,129215,171,alive
1,4924,6.1,3.2,129215,171,alive
1,4924,6.1,3.2,129215,171,alive
1,4924,6.5,4.2,129216,171,alive
1,4924,6.5,4.2,129216,171,alive
1,4924,11.1,1.9,129217,171,alive
1,4924,12.5,1.6,129218,171,alive
1,4924,12.5,1.6,129218,171,alive
1,4924,12.5,1.6,129218,171,alive
1,4924,12.5,1.6,129218,171,alive
1,4924,12.5,1.6,129218,171,alive
1,4924,11.8,4.5,129220,171,alive
1,4924,11.5,4.8,129221,171,alive
1,4924,11.5,4.8,129221,171,alive
1,4924,11.2,4.6,129222,171,alive
1,4924,10.5,5.1,129224,171,alive
1,4924,10.5,5.1,129224,171,alive
1,4924,10.8,5,129225,171,alive
1,4924,14.8,5.4,129229,171,alive
1,4924,14.8,5.4,129229,171,alive
1,4924,14.6,5.5,129230,171,alive
1,4924,14.1,6.9,129231,171,alive
1,4924,14.5,7,129232,171,alive
1,4924,15.2,8.5,129233,171,alive
1,4924,13.5,7.4,129234,171,alive
1,4924,13,9,129236,171,alive
1,4924,13,9.3,129237,171,alive
1,4924,12,9.8,129238,171,alive
1,4924,13.9,9.3,129241,171,alive
1,4924,14.4,11.1,129242,171,dead
1,4924,13.5,11.5,129243,171,alive
1,4924,14.7,11.7,129244,171,alive
1,4924,12.2,14,129246,171,dead
1,4924,10.9,13.5,129247,171,alive
1,4924,11.2,13.4,129248,171,alive
1,4924,13.8,15.1,129251,171,alive
1,4924,14.1,19.7,129255,171,alive
1,4924,12.2,19.6,129256,171,dead
1,4924,12.9,19,129257,171,alive
1,4924,16.4,15.8,129259,171,dead
1,4924,16.1,15,129261,171,alive
1,4924,19.7,15.7,129263,171,alive
1,4924,18.3,18.4,129265,171,alive
1,4924,16.2,10.9,129267,171,alive
1,4924,17.9,9.8,129271,171,alive
1,4924,16.2,9.2,129272,171,alive
1,4924,16.4,6.9,129274,171,alive
1,4924,16.2,5.1,129275,171,alive
1,4924,19.1,5.7,129279,171,dead
1,4924,19.2,5.1,129280,171,alive
1,4924,19.1,1,129286,171,alive
1,4924,18.9,1.1,129287,171,alive
1,4924,2.3,2.7,314569,171,alive
1,4924,2.1,3.6,314570,171,alive
1,4924,2.5,8.4,314571,171,dead
1,4924,3.9,13.7,314574,171,dead
1,4924,1.6,11.4,314578,171,alive
1,4924,1.6,11.4,314578,171,alive
1,4924,1.6,11.4,314578,171,alive
1,4924,1.6,11.4,314578,171,alive
1,4924,1.6,11.4,314578,171,alive
1,4924,1.6,11.4,314578,171,alive
1,4924,1.6,11.4,314578,171,alive
1,4924,3.2,11.7,314579,171,alive
1,4924,4.9,13.3,314580,171,alive
1,4924,2.7,18.5,314586,171,dead
1,4924,7,15.1,314587,171,alive
1,4924,6.7,13.2,314588,171,alive
1,4924,5.4,9.3,314592,171,alive
1,4924,1.9,11.2,314594,171,alive
1,4924,11.6,2.1,314595,171,alive
1,4924,13,4.9,314596,171,alive
1,4924,13,4.9,314596,171,alive
1,4924,13.8,8.2,314597,171,dead
1,4924,14.8,7,314598,171,alive
1,4924,15.3,17,314600,171,dead
1,4924,15.4,17.3,314601,171,dead
1,4924,16.1,16,314602,171,alive
1,4924,16.1,16,314603,171,alive
1,4924,18.2,17.3,314606,171,alive
1,4924,17.2,19.8,314608,171,alive
1,4924,16.9,18.8,314609,171,alive
1,4924,19.7,14.6,314610,171,alive
1,4924,19.9,14.4,314611,171,alive
1,4924,16.3,12.7,314612,171,alive
1,4924,15.6,9.8,314613,171,alive
1,4924,19.8,9,314614,171,dead
1,4924,19,9.4,314615,171,alive
1,4924,3.4,19.3,449609,171,dead
1,4924,6,17,449610,171,alive
1,4924,5.3,11.9,449611,171,alive
1,4924,5.3,10.9,449612,171,alive
1,4924,13.1,4.8,449615,171,alive
1,4924,13.4,7.5,449616,171,alive
1,4924,2.7,4.1,549321,171,alive
1,4924,7.1,16.9,549322,171,alive
1,4924,9.5,5.9,549323,171,alive
1,4924,17.9,18.5,549324,171,alive
1,4924,17.6,3,549325,171,alive
1,4924,18.4,0.8,646582,171,alive
1,4924,2.7,11.2,649372,171,alive
1,4924,4.3,14.7,649373,171,alive
1,4924,4.6,19.2,649374,171,alive
1,4924,7.7,12.2,649375,171,alive
1,4924,5.6,12.1,649376,171,alive
1,4924,8.5,3.8,649377,171,alive
1,4924,12.2,3.9,649378,171,alive
1,4924,13.7,4,649379,171,alive
1,4924,12.8,3.2,649380,171,alive
1,4924,12.3,5.6,649381,171,alive
